Algorithm,Accuracy,AUC,Precision,Recall,F1-Score,MCC
Logistic Regression,0.8211497515968772,0.862299057004151,0.6861538461538461,0.5978552278820375,0.6389684813753582,0.5230295036857151
Gaussian NB,0.6657203690560681,0.8377149171385097,0.43586387434554974,0.8927613941018767,0.5857519788918206,0.4221703562636549
XGBoost,0.7913413768630234,0.8407672321881438,0.6270096463022508,0.5227882037533512,0.5701754385964912,0.43702224851223603
K-Nearest Neighbors,0.772888573456352,0.7968884242342689,0.5781710914454278,0.5254691689008043,0.550561797752809,0.3998941810550478
Random Forest,0.7955997161107168,0.8389376546213007,0.6591760299625468,0.4718498659517426,0.55,0.43230517922728257
Decision Tree,0.7175301632363378,0.6403482666887491,0.46701846965699206,0.4745308310991957,0.47074468085106386,0.2781350904330621
